HINCP,RNTP,MRGP,NP,HHT_label,TEN_label,BLDG_AGE_dec
611000,0,2900,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),0
611000,0,2900,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),0
115000,0,1400,3,Nonfamily household: Female householder: Not living alone,Owned with mortgage or loan (include home equity loans),0
115000,0,1400,3,Nonfamily household: Female householder: Not living alone,Owned with mortgage or loan (include home equity loans),0
115000,0,1400,3,Nonfamily household: Female householder: Not living alone,Owned with mortgage or loan (include home equity loans),0
146000,0,1100,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
146000,0,1100,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
86100,0,380,2,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),0
86100,0,380,2,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),0
21000,750,0,1,Nonfamily household: Male householder: Living alone,Rented,4
20000,1100,0,2,Married couple household,Rented,2
20000,1100,0,2,Married couple household,Rented,2
75000,1200,0,1,Nonfamily household: Female householder: Living alone,Rented,3
34400,0,1600,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
34400,0,1600,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
34400,0,1600,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
22000,1000,0,1,Nonfamily household: Male householder: Living alone,Rented,3
118000,0,370,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
118000,0,370,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
118000,0,370,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
118000,0,370,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
20000,830,0,4,"Other family household: Female householder, no spouse present",Rented,3
20000,830,0,4,"Other family household: Female householder, no spouse present",Rented,3
20000,830,0,4,"Other family household: Female householder, no spouse present",Rented,3
20000,830,0,4,"Other family household: Female householder, no spouse present",Rented,3
70000,590,0,1,Nonfamily household: Male householder: Living alone,Rented,4
113000,0,1500,3,Nonfamily household: Male householder: Not living alone,Owned with mortgage or loan (include home equity loans),3
113000,0,1500,3,Nonfamily household: Male householder: Not living alone,Owned with mortgage or loan (include home equity loans),3
113000,0,1500,3,Nonfamily household: Male householder: Not living alone,Owned with mortgage or loan (include home equity loans),3
67000,800,0,1,Nonfamily household: Female householder: Living alone,Rented,5
221000,0,3400,5,Married couple household,Owned with mortgage or loan (include home equity loans),0
221000,0,3400,5,Married couple household,Owned with mortgage or loan (include home equity loans),0
221000,0,3400,5,Married couple household,Owned with mortgage or loan (include home equity loans),0
221000,0,3400,5,Married couple household,Owned with mortgage or loan (include home equity loans),0
221000,0,3400,5,Married couple household,Owned with mortgage or loan (include home equity loans),0
55500,670,0,1,Nonfamily household: Female householder: Living alone,Rented,2
170000,0,1700,3,Married couple household,Owned with mortgage or loan (include home equity loans),4
170000,0,1700,3,Married couple household,Owned with mortgage or loan (include home equity loans),4
170000,0,1700,3,Married couple household,Owned with mortgage or loan (include home equity loans),4
62500,0,810,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
62500,0,810,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
62500,0,810,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
62500,0,810,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
103100,0,1000,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
103100,0,1000,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
259000,0,2600,2,Married couple household,Owned with mortgage or loan (include home equity loans),4
259000,0,2600,2,Married couple household,Owned with mortgage or loan (include home equity loans),4
107900,0,880,7,Married couple household,Owned with mortgage or loan (include home equity loans),4
107900,0,880,7,Married couple household,Owned with mortgage or loan (include home equity loans),4
107900,0,880,7,Married couple household,Owned with mortgage or loan (include home equity loans),4
107900,0,880,7,Married couple household,Owned with mortgage or loan (include home equity loans),4
107900,0,880,7,Married couple household,Owned with mortgage or loan (include home equity loans),4
107900,0,880,7,Married couple household,Owned with mortgage or loan (include home equity loans),4
107900,0,880,7,Married couple household,Owned with mortgage or loan (include home equity loans),4
36000,1100,0,1,Nonfamily household: Female householder: Living alone,Rented,1
126300,1400,0,2,Married couple household,Rented,0
126300,1400,0,2,Married couple household,Rented,0
130000,0,1500,3,Married couple household,Owned with mortgage or loan (include home equity loans),5
130000,0,1500,3,Married couple household,Owned with mortgage or loan (include home equity loans),5
130000,0,1500,3,Married couple household,Owned with mortgage or loan (include home equity loans),5
74000,0,1900,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
74000,0,1900,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
74000,0,1900,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
74000,0,1900,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
47000,1400,0,2,Nonfamily household: Female householder: Not living alone,Rented,0
47000,1400,0,2,Nonfamily household: Female householder: Not living alone,Rented,0
56000,1100,0,1,Nonfamily household: Female householder: Living alone,Rented,1
165000,0,1800,5,Married couple household,Owned with mortgage or loan (include home equity loans),0
165000,0,1800,5,Married couple household,Owned with mortgage or loan (include home equity loans),0
165000,0,1800,5,Married couple household,Owned with mortgage or loan (include home equity loans),0
165000,0,1800,5,Married couple household,Owned with mortgage or loan (include home equity loans),0
165000,0,1800,5,Married couple household,Owned with mortgage or loan (include home equity loans),0
34000,670,0,1,Nonfamily household: Female householder: Living alone,Rented,3
94000,1800,0,1,Nonfamily household: Female householder: Living alone,Rented,3
23400,850,0,3,Married couple household,Rented,5
23400,850,0,3,Married couple household,Rented,5
23400,850,0,3,Married couple household,Rented,5
136000,0,3400,2,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),4
136000,0,3400,2,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),4
156200,0,3500,5,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),3
156200,0,3500,5,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),3
156200,0,3500,5,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),3
156200,0,3500,5,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),3
156200,0,3500,5,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),3
87230,1200,0,2,"Other family household: Male householder, no spouse present",Rented,1
87230,1200,0,2,"Other family household: Male householder, no spouse present",Rented,1
60000,0,190,5,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),0
60000,0,190,5,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),0
60000,0,190,5,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),0
60000,0,190,5,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),0
60000,0,190,5,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),0
133000,0,2500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
133000,0,2500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
133000,0,2500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
133000,0,2500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
47600,0,1200,1,Nonfamily household: Male householder: Living alone,Owned with mortgage or loan (include home equity loans),1
159000,0,2200,2,Married couple household,Owned with mortgage or loan (include home equity loans),0
159000,0,2200,2,Married couple household,Owned with mortgage or loan (include home equity loans),0
100300,0,1400,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
100300,0,1400,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
100300,0,1400,3,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
50200,1200,0,4,"Other family household: Male householder, no spouse present",Rented,6
50200,1200,0,4,"Other family household: Male householder, no spouse present",Rented,6
50200,1200,0,4,"Other family household: Male householder, no spouse present",Rented,6
50200,1200,0,4,"Other family household: Male householder, no spouse present",Rented,6
159000,0,370,3,Married couple household,Owned with mortgage or loan (include home equity loans),2
159000,0,370,3,Married couple household,Owned with mortgage or loan (include home equity loans),2
159000,0,370,3,Married couple household,Owned with mortgage or loan (include home equity loans),2
194600,0,2900,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
194600,0,2900,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
194600,0,2900,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
194600,0,2900,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
18000,1300,0,1,Nonfamily household: Female householder: Living alone,Rented,2
172200,0,2300,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
172200,0,2300,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
172200,0,2300,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
56000,1100,0,1,Nonfamily household: Female householder: Living alone,Rented,1
60000,1600,0,2,Nonfamily household: Female householder: Not living alone,Rented,5
60000,1600,0,2,Nonfamily household: Female householder: Not living alone,Rented,5
103900,0,1900,4,Married couple household,Owned with mortgage or loan (include home equity loans),3
103900,0,1900,4,Married couple household,Owned with mortgage or loan (include home equity loans),3
103900,0,1900,4,Married couple household,Owned with mortgage or loan (include home equity loans),3
103900,0,1900,4,Married couple household,Owned with mortgage or loan (include home equity loans),3
14500,1200,0,1,Nonfamily household: Female householder: Living alone,Rented,0
85500,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),3
85500,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),3
85500,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),3
382000,0,1900,1,Nonfamily household: Female householder: Living alone,Owned with mortgage or loan (include home equity loans),5
102200,2000,0,3,Nonfamily household: Male householder: Not living alone,Rented,6
102200,2000,0,3,Nonfamily household: Male householder: Not living alone,Rented,6
102200,2000,0,3,Nonfamily household: Male householder: Not living alone,Rented,6
70000,0,900,1,Nonfamily household: Male householder: Living alone,Owned with mortgage or loan (include home equity loans),0
65000,1200,0,1,Nonfamily household: Male householder: Living alone,Rented,2
29000,1100,0,1,Nonfamily household: Female householder: Living alone,Rented,1
58000,900,0,1,Nonfamily household: Male householder: Living alone,Rented,4
106300,0,1500,2,Married couple household,Owned with mortgage or loan (include home equity loans),3
106300,0,1500,2,Married couple household,Owned with mortgage or loan (include home equity loans),3
46800,1200,0,6,Married couple household,Rented,4
46800,1200,0,6,Married couple household,Rented,4
46800,1200,0,6,Married couple household,Rented,4
46800,1200,0,6,Married couple household,Rented,4
46800,1200,0,6,Married couple household,Rented,4
46800,1200,0,6,Married couple household,Rented,4
121500,0,1400,1,Nonfamily household: Male householder: Living alone,Owned with mortgage or loan (include home equity loans),5
150000,0,2900,2,Married couple household,Owned with mortgage or loan (include home equity loans),3
150000,0,2900,2,Married couple household,Owned with mortgage or loan (include home equity loans),3
40600,1900,0,4,"Other family household: Female householder, no spouse present",Rented,6
40600,1900,0,4,"Other family household: Female householder, no spouse present",Rented,6
40600,1900,0,4,"Other family household: Female householder, no spouse present",Rented,6
40600,1900,0,4,"Other family household: Female householder, no spouse present",Rented,6
180600,0,640,2,Married couple household,Owned with mortgage or loan (include home equity loans),3
180600,0,640,2,Married couple household,Owned with mortgage or loan (include home equity loans),3
100000,0,990,2,Married couple household,Owned with mortgage or loan (include home equity loans),3
100000,0,990,2,Married couple household,Owned with mortgage or loan (include home equity loans),3
33300,790,0,1,Nonfamily household: Male householder: Living alone,Rented,4
115000,0,1100,1,Nonfamily household: Male householder: Living alone,Owned with mortgage or loan (include home equity loans),2
63800,1400,0,2,Nonfamily household: Female householder: Not living alone,Rented,8
63800,1400,0,2,Nonfamily household: Female householder: Not living alone,Rented,8
88000,2200,0,1,Nonfamily household: Male householder: Living alone,Rented,0
70000,1200,0,1,Nonfamily household: Female householder: Living alone,Rented,3
44000,0,2000,2,Married couple household,Owned with mortgage or loan (include home equity loans),4
44000,0,2000,2,Married couple household,Owned with mortgage or loan (include home equity loans),4
20000,830,0,1,Nonfamily household: Male householder: Living alone,Rented,4
90100,0,2200,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
90100,0,2200,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
52500,0,1100,2,Married couple household,Owned with mortgage or loan (include home equity loans),7
52500,0,1100,2,Married couple household,Owned with mortgage or loan (include home equity loans),7
37400,0,460,1,Nonfamily household: Female householder: Living alone,Owned with mortgage or loan (include home equity loans),2
81000,990,0,2,Married couple household,Rented,0
81000,990,0,2,Married couple household,Rented,0
289600,0,5100,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
289600,0,5100,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
289600,0,5100,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
44600,840,0,2,Married couple household,Rented,1
44600,840,0,2,Married couple household,Rented,1
86000,0,890,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
86000,0,890,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
86000,0,890,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
86000,0,890,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
148000,0,100,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
148000,0,100,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
148000,0,100,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
50700,1600,0,6,"Other family household: Female householder, no spouse present",Rented,1
50700,1600,0,6,"Other family household: Female householder, no spouse present",Rented,1
50700,1600,0,6,"Other family household: Female householder, no spouse present",Rented,1
50700,1600,0,6,"Other family household: Female householder, no spouse present",Rented,1
50700,1600,0,6,"Other family household: Female householder, no spouse present",Rented,1
50700,1600,0,6,"Other family household: Female householder, no spouse present",Rented,1
50000,1000,0,1,Nonfamily household: Male householder: Living alone,Rented,1
18000,680,0,4,Married couple household,Rented,4
18000,680,0,4,Married couple household,Rented,4
18000,680,0,4,Married couple household,Rented,4
18000,680,0,4,Married couple household,Rented,4
101000,0,1800,1,Nonfamily household: Female householder: Living alone,Owned with mortgage or loan (include home equity loans),5
110020,0,2300,2,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),5
110020,0,2300,2,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),5
97000,0,1300,1,Nonfamily household: Female householder: Living alone,Owned with mortgage or loan (include home equity loans),0
41250,1500,0,3,"Other family household: Female householder, no spouse present",Rented,0
41250,1500,0,3,"Other family household: Female householder, no spouse present",Rented,0
41250,1500,0,3,"Other family household: Female householder, no spouse present",Rented,0
235000,0,2500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
235000,0,2500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
235000,0,2500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
235000,0,2500,4,"Other family household: Male householder, no spouse present",Owned with mortgage or loan (include home equity loans),1
197000,2200,0,2,Married couple household,Rented,0
197000,2200,0,2,Married couple household,Rented,0
64000,1300,0,1,Nonfamily household: Male householder: Living alone,Rented,0
76000,1500,0,1,Nonfamily household: Male householder: Living alone,Rented,0
28400,840,0,1,Nonfamily household: Female householder: Living alone,Rented,0
302000,0,900,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
302000,0,900,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
302000,0,900,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
302000,0,900,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
948000,0,1600,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
948000,0,1600,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
948000,0,1600,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
948000,0,1600,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
480000,0,3500,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
480000,0,3500,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
165300,0,2500,1,Nonfamily household: Female householder: Living alone,Owned with mortgage or loan (include home equity loans),5
69200,3000,0,1,Nonfamily household: Male householder: Living alone,Rented,4
80000,3000,0,2,Nonfamily household: Male householder: Not living alone,Rented,3
80000,3000,0,2,Nonfamily household: Male householder: Not living alone,Rented,3
89900,2000,0,2,Nonfamily household: Male householder: Not living alone,Rented,4
89900,2000,0,2,Nonfamily household: Male householder: Not living alone,Rented,4
164600,0,1500,3,Married couple household,Owned with mortgage or loan (include home equity loans),3
164600,0,1500,3,Married couple household,Owned with mortgage or loan (include home equity loans),3
164600,0,1500,3,Married couple household,Owned with mortgage or loan (include home equity loans),3
20000,1700,0,2,Nonfamily household: Male householder: Not living alone,Rented,0
20000,1700,0,2,Nonfamily household: Male householder: Not living alone,Rented,0
94850,0,1700,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
94850,0,1700,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
66000,0,1600,8,Married couple household,Owned with mortgage or loan (include home equity loans),5
66000,0,1600,8,Married couple household,Owned with mortgage or loan (include home equity loans),5
66000,0,1600,8,Married couple household,Owned with mortgage or loan (include home equity loans),5
66000,0,1600,8,Married couple household,Owned with mortgage or loan (include home equity loans),5
66000,0,1600,8,Married couple household,Owned with mortgage or loan (include home equity loans),5
66000,0,1600,8,Married couple household,Owned with mortgage or loan (include home equity loans),5
66000,0,1600,8,Married couple household,Owned with mortgage or loan (include home equity loans),5
66000,0,1600,8,Married couple household,Owned with mortgage or loan (include home equity loans),5
160000,1800,0,2,Nonfamily household: Female householder: Not living alone,Rented,3
160000,1800,0,2,Nonfamily household: Female householder: Not living alone,Rented,3
66000,0,1600,1,Nonfamily household: Male householder: Living alone,Owned with mortgage or loan (include home equity loans),0
265000,1300,0,2,Married couple household,Rented,3
265000,1300,0,2,Married couple household,Rented,3
121500,0,2600,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
121500,0,2600,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
121500,0,2600,3,Married couple household,Owned with mortgage or loan (include home equity loans),0
83200,1100,0,2,Nonfamily household: Female householder: Not living alone,Rented,1
83200,1100,0,2,Nonfamily household: Female householder: Not living alone,Rented,1
349100,0,3500,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
349100,0,3500,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
349100,0,3500,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
349100,0,3500,4,Married couple household,Owned with mortgage or loan (include home equity loans),2
77000,0,2100,4,Married couple household,Owned with mortgage or loan (include home equity loans),0
77000,0,2100,4,Married couple household,Owned with mortgage or loan (include home equity loans),0
77000,0,2100,4,Married couple household,Owned with mortgage or loan (include home equity loans),0
77000,0,2100,4,Married couple household,Owned with mortgage or loan (include home equity loans),0
68000,1700,0,2,"Other family household: Female householder, no spouse present",Rented,3
68000,1700,0,2,"Other family household: Female householder, no spouse present",Rented,3
110000,1500,0,2,Nonfamily household: Female householder: Not living alone,Rented,4
110000,1500,0,2,Nonfamily household: Female householder: Not living alone,Rented,4
35000,1700,0,1,Nonfamily household: Female householder: Living alone,Rented,3
82000,0,1300,2,Married couple household,Owned with mortgage or loan (include home equity loans),6
82000,0,1300,2,Married couple household,Owned with mortgage or loan (include home equity loans),6
134000,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
134000,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
134000,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
65000,1200,0,1,Nonfamily household: Female householder: Living alone,Rented,3
78000,0,1000,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
78000,0,1000,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
78000,0,1000,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
42000,1100,0,1,Nonfamily household: Male householder: Living alone,Rented,3
46000,0,1200,2,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),7
46000,0,1200,2,"Other family household: Female householder, no spouse present",Owned with mortgage or loan (include home equity loans),7
80000,0,950,2,Married couple household,Owned with mortgage or loan (include home equity loans),2
80000,0,950,2,Married couple household,Owned with mortgage or loan (include home equity loans),2
91600,0,2000,3,Married couple household,Owned with mortgage or loan (include home equity loans),6
91600,0,2000,3,Married couple household,Owned with mortgage or loan (include home equity loans),6
91600,0,2000,3,Married couple household,Owned with mortgage or loan (include home equity loans),6
44000,990,0,2,Nonfamily household: Male householder: Not living alone,Rented,3
44000,990,0,2,Nonfamily household: Male householder: Not living alone,Rented,3
81200,1200,0,1,Nonfamily household: Male householder: Living alone,Rented,6
57800,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
57800,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
57800,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
20000,840,0,1,Nonfamily household: Male householder: Living alone,Rented,0
174000,0,1900,2,Nonfamily household: Male householder: Not living alone,Owned with mortgage or loan (include home equity loans),6
174000,0,1900,2,Nonfamily household: Male householder: Not living alone,Owned with mortgage or loan (include home equity loans),6
114800,0,1000,2,Nonfamily household: Female householder: Not living alone,Owned with mortgage or loan (include home equity loans),3
114800,0,1000,2,Nonfamily household: Female householder: Not living alone,Owned with mortgage or loan (include home equity loans),3
201000,0,1500,1,Nonfamily household: Male householder: Living alone,Owned with mortgage or loan (include home equity loans),3
124000,0,400,2,Married couple household,Owned with mortgage or loan (include home equity loans),3
124000,0,400,2,Married couple household,Owned with mortgage or loan (include home equity loans),3
56350,1200,0,2,Nonfamily household: Male householder: Not living alone,Rented,2
56350,1200,0,2,Nonfamily household: Male householder: Not living alone,Rented,2
95000,1300,0,1,Nonfamily household: Female householder: Living alone,Rented,1
64000,0,1200,4,Married couple household,Owned with mortgage or loan (include home equity loans),3
64000,0,1200,4,Married couple household,Owned with mortgage or loan (include home equity loans),3
64000,0,1200,4,Married couple household,Owned with mortgage or loan (include home equity loans),3
64000,0,1200,4,Married couple household,Owned with mortgage or loan (include home equity loans),3
130000,0,1400,4,Married couple household,Owned with mortgage or loan (include home equity loans),4
130000,0,1400,4,Married couple household,Owned with mortgage or loan (include home equity loans),4
130000,0,1400,4,Married couple household,Owned with mortgage or loan (include home equity loans),4
130000,0,1400,4,Married couple household,Owned with mortgage or loan (include home equity loans),4
49000,800,0,2,"Other family household: Female householder, no spouse present",Rented,3
49000,800,0,2,"Other family household: Female householder, no spouse present",Rented,3
56000,0,1200,2,Married couple household,Owned with mortgage or loan (include home equity loans),5
56000,0,1200,2,Married couple household,Owned with mortgage or loan (include home equity loans),5
75600,0,1100,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
75600,0,1100,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
75600,0,1100,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
75600,0,1100,4,Married couple household,Owned with mortgage or loan (include home equity loans),1
95000,1700,0,2,Nonfamily household: Male householder: Not living alone,Rented,8
95000,1700,0,2,Nonfamily household: Male householder: Not living alone,Rented,8
129400,0,1000,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
129400,0,1000,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
129400,0,1000,3,Married couple household,Owned with mortgage or loan (include home equity loans),1
348000,0,600,1,Nonfamily household: Female householder: Living alone,Owned with mortgage or loan (include home equity loans),5
24400,0,1100,1,Nonfamily household: Female householder: Living alone,Owned with mortgage or loan (include home equity loans),8
220000,0,1700,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
220000,0,1700,2,Married couple household,Owned with mortgage or loan (include home equity loans),1
479400,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),2
479400,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),2
479400,0,1100,3,Married couple household,Owned with mortgage or loan (include home equity loans),2
